feature,gain
service_type_Wireless School Bus Services and Equipment,864.0035
category_nan,742.3458
category_2.0,641.9886
category_1.0,422.5135
service_type_Wi-Fi Hotspots Services and Equipment,358.1491
service_type_Data Transmission and/or Internet Access,308.5588
applicant_type_School,235.6205
applicant_type_Consortium,170.0173
applicant_type_School District,159.0112
spac_filed,157.3309
state_te,155.8706
service_type_Basic Maintenance of Internal Connections,129.0084
funding_year,115.7587
discount_rate,98.1401
is_consortium,78.8607
